Gene_stable_ID	Gene_name
ENSGALG00010000002	
ENSGALG00010000003	
ENSGALG00010000004	
ENSGALG00010000005	
ENSGALG00010000006	
ENSGALG00010000007	ND1
ENSGALG00010000008	
ENSGALG00010000009	
ENSGALG00010000010	
ENSGALG00010000011	ND2
ENSGALG00010000012	
ENSGALG00010000013	
ENSGALG00010000014	
ENSGALG00010000015	
ENSGALG00010000016	
ENSGALG00010000017	COX1
ENSGALG00010000018	
ENSGALG00010000019	
ENSGALG00010000020	COX2
ENSGALG00010000021	
ENSGALG00010000022	ATP8
ENSGALG00010000023	ATP6
ENSGALG00010000024	COX3
ENSGALG00010000025	
ENSGALG00010000026	ND3
ENSGALG00010000027	
ENSGALG00010000028	ND4L
ENSGALG00010000029	ND4
ENSGALG00010000030	
ENSGALG00010000031	
ENSGALG00010000032	
ENSGALG00010000033	ND5
ENSGALG00010000034	CYTB
ENSGALG00010000035	
ENSGALG00010000036	
ENSGALG00010000037	ND6
ENSGALG00010000038	
ENSGALG00010000039	PDIA3
ENSGALG00010000040	
ENSGALG00010000041	
ENSGALG00010000042	CKMT1B
ENSGALG00010000043	PPIP5K1
ENSGALG00010000044	MAP1A
ENSGALG00010000045	TP53BP1
ENSGALG00010000046	TUBGCP4
ENSGALG00010000047	IQGAP3
ENSGALG00010000048	MAN2A2
ENSGALG00010000049	FES
ENSGALG00010000050	CIB1
ENSGALG00010000051	GDPGP1
ENSGALG00010000052	TTLL13
ENSGALG00010000053	HDDC3
ENSGALG00010000054	VPS33B
ENSGALG00010000055	PRC1
ENSGALG00010000056	UNC45A
ENSGALG00010000057	
ENSGALG00010000058	FURIN
ENSGALG00010000059	MFAP1
ENSGALG00010000060	HYPK
ENSGALG00010000061	SERINC4
ENSGALG00010000062	
ENSGALG00010000063	SERF2
ENSGALG00010000064	
ENSGALG00010000065	
ENSGALG00010000066	gga-mir-12218
ENSGALG00010000067	
ENSGALG00010000068	
ENSGALG00010000069	
ENSGALG00010000070	
ENSGALG00010000071	
ENSGALG00010000072	
ENSGALG00010000073	
ENSGALG00010000074	
ENSGALG00010000075	
ENSGALG00010000076	
ENSGALG00010000077	
ENSGALG00010000078	
ENSGALG00010000079	
ENSGALG00010000080	
ENSGALG00010000081	
ENSGALG00010000082	
ENSGALG00010000083	
ENSGALG00010000084	
ENSGALG00010000085	
ENSGALG00010000086	
ENSGALG00010000087	
ENSGALG00010000088	
ENSGALG00010000089	
ENSGALG00010000090	
ENSGALG00010000091	
ENSGALG00010000092	INPPL1
ENSGALG00010000093	
ENSGALG00010000094	
ENSGALG00010000095	
ENSGALG00010000096	
ENSGALG00010000097	
ENSGALG00010000098	
ENSGALG00010000099	
ENSGALG00010000100	
ENSGALG00010000101	
ENSGALG00010000102	
ENSGALG00010000103	
ENSGALG00010000104	
ENSGALG00010000105	CACNA1F
ENSGALG00010000106	
ENSGALG00010000107	
ENSGALG00010000108	
ENSGALG00010000109	
ENSGALG00010000110	
ENSGALG00010000111	
ENSGALG00010000112	
ENSGALG00010000113	
ENSGALG00010000114	
ENSGALG00010000115	
ENSGALG00010000116	
ENSGALG00010000117	
ENSGALG00010000118	
ENSGALG00010000119	
ENSGALG00010000120	
ENSGALG00010000121	
ENSGALG00010000122	
ENSGALG00010000123	
ENSGALG00010000124	
ENSGALG00010000125	
ENSGALG00010000126	
ENSGALG00010000127	
ENSGALG00010000128	
ENSGALG00010000129	
ENSGALG00010000130	
ENSGALG00010000131	
ENSGALG00010000132	
ENSGALG00010000133	USP39
ENSGALG00010000134	
ENSGALG00010000135	
ENSGALG00010000136	
ENSGALG00010000137	
ENSGALG00010000138	
ENSGALG00010000139	gga-mir-12293
ENSGALG00010000140	SEPHS3
ENSGALG00010000141	
ENSGALG00010000142	
ENSGALG00010000143	SCARF2
ENSGALG00010000144	
ENSGALG00010000145	PRODH
ENSGALG00010000146	ACADM
ENSGALG00010000147	
ENSGALG00010000148	
ENSGALG00010000149	
ENSGALG00010000150	B3GAT3
ENSGALG00010000151	TBX5
ENSGALG00010000152	
ENSGALG00010000153	NF2
ENSGALG00010000154	
ENSGALG00010000155	MAZ
ENSGALG00010000156	
ENSGALG00010000157	
ENSGALG00010000158	
ENSGALG00010000159	
ENSGALG00010000160	
ENSGALG00010000161	CDC42EP2
ENSGALG00010000162	
ENSGALG00010000163	
ENSGALG00010000164	
ENSGALG00010000165	
ENSGALG00010000166	PFDN6
ENSGALG00010000167	faf
ENSGALG00010000168	
ENSGALG00010000169	
ENSGALG00010000170	
ENSGALG00010000171	DPF2
ENSGALG00010000172	
ENSGALG00010000173	NIPSNAP1
ENSGALG00010000174	
ENSGALG00010000175	
ENSGALG00010000176	
ENSGALG00010000177	
ENSGALG00010000178	
ENSGALG00010000179	
ENSGALG00010000180	
ENSGALG00010000181	
ENSGALG00010000182	
ENSGALG00010000183	
ENSGALG00010000184	
ENSGALG00010000185	
ENSGALG00010000186	THOC5
ENSGALG00010000187	
ENSGALG00010000188	
ENSGALG00010000189	
ENSGALG00010000190	
ENSGALG00010000191	NEFH
ENSGALG00010000192	
ENSGALG00010000193	
ENSGALG00010000194	
ENSGALG00010000195	
ENSGALG00010000196	KSR2
ENSGALG00010000197	
ENSGALG00010000198	
ENSGALG00010000199	
ENSGALG00010000200	GAL3ST1
ENSGALG00010000201	
ENSGALG00010000202	
ENSGALG00010000203	
ENSGALG00010000204	
ENSGALG00010000205	RNF215
ENSGALG00010000206	
ENSGALG00010000207	
ENSGALG00010000208	
ENSGALG00010000209	
ENSGALG00010000210	CCDC157
ENSGALG00010000211	
ENSGALG00010000212	
ENSGALG00010000213	
ENSGALG00010000214	
ENSGALG00010000215	SF3A1
ENSGALG00010000216	
ENSGALG00010000217	
ENSGALG00010000218	
ENSGALG00010000219	
ENSGALG00010000220	
ENSGALG00010000221	TBC1D10A
ENSGALG00010000222	
ENSGALG00010000223	CASTOR1
ENSGALG00010000224	MYBPC2
ENSGALG00010000225	LIF
ENSGALG00010000226	
ENSGALG00010000227	
ENSGALG00010000228	
ENSGALG00010000229	
ENSGALG00010000230	
ENSGALG00010000231	
ENSGALG00010000232	
ENSGALG00010000233	HORMAD2
ENSGALG00010000234	
ENSGALG00010000235	
ENSGALG00010000236	
ENSGALG00010000237	
ENSGALG00010000238	
ENSGALG00010000239	
ENSGALG00010000240	
ENSGALG00010000241	
ENSGALG00010000242	
ENSGALG00010000243	
ENSGALG00010000244	
ENSGALG00010000245	
ENSGALG00010000246	
ENSGALG00010000247	
ENSGALG00010000248	
ENSGALG00010000249	
ENSGALG00010000250	
ENSGALG00010000251	
ENSGALG00010000252	
ENSGALG00010000253	faf
ENSGALG00010000254	
ENSGALG00010000255	
ENSGALG00010000256	
ENSGALG00010000257	faf
ENSGALG00010000258	
